date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:30	56333/56333	---M-Z	200	added ('OK')	text/html	etag:%228-1776061746;gz%22	https://asean-university.com/	C:/My%20Web%20Sites/uni/asean-university.com/index.html	(from )
12:22:30	124/124	---MCZ	200	added ('OK')	text/plain	etag:%221-1776060241;gz%22	https://asean-university.com/robots.txt		(from )
12:22:30	1090847/1090847	---M-Z	200	added ('OK')	text/css	etag:%2210a51f-69625023-40853f6f06ab47d0;gz%22	https://asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226.css?ver=882b8	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226e001.css	(from https://asean-university.com/)
12:22:30	1145/1145	---M-Z	200	added ('OK')	application/rss+xml	etag:%220f26b2dbafa741170cb50923fe01633a%22	https://asean-university.com/feed/	C:/My%20Web%20Sites/uni/asean-university.com/feed/index.html	(from https://asean-university.com/)
12:22:30	767/767	---MCZ	200	added ('OK')	application/rss+xml	etag:%220f26b2dbafa741170cb50923fe01633a%22	https://asean-university.com/comments/feed/	C:/My%20Web%20Sites/uni/asean-university.com/comments/feed/index.html	(from https://asean-university.com/)
12:22:31	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-66b3b80c-7fae6af3fbe92157;gz%22	https://asean-university.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/uni/asean-university.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://asean-university.com/)
12:22:31	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-66b3b80e-107db1abb914a49e;gz%22	https://asean-university.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/uni/asean-university.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://asean-university.com/)
12:22:31	274976/274976	---MCZ	200	added ('OK')	application/json	etag:%2234-1776133629;gz%22	https://asean-university.com/wp-json/	C:/My%20Web%20Sites/uni/asean-university.com/wp-json/index.html	(from https://asean-university.com/)
12:22:35	27267/27267	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Apr%202026%2019:22:34%20GMT	https://asean-university.com/wp-json/wp/v2/pages/1451	C:/My%20Web%20Sites/uni/asean-university.com/wp-json/wp/v2/pages/1451.json	(from https://asean-university.com/)
12:22:35	834/834	---M-Z	200	added ('OK')	text/xml	date:Wed,%2015%20Apr%202026%2019:22:34%20GMT	https://asean-university.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/uni/asean-university.com/xmlrpc0db0.php	(from https://asean-university.com/)
12:22:36	2077/2077	---M-Z	200	added ('OK')	application/json	etag:%2264-1776280955;gz%22	https://asean-university.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fasean-university.com%2F	C:/My%20Web%20Sites/uni/asean-university.com/wp-json/oembed/1.0/embed4a21.json	(from https://asean-university.com/)
12:22:36	2239/2239	---M-Z	200	added ('OK')	text/xml	etag:%2265-1776280955;gz%22	https://asean-university.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fasean-university.com%2F&format=xml	C:/My%20Web%20Sites/uni/asean-university.com/wp-json/oembed/1.0/embede35e	(from https://asean-university.com/)
12:22:36	5726/5726	---M--	200	added ('OK')	image/webp	etag:%22165e-66b3b85e-95f2577b79ff9dcd;;;%22	https://asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-32x32.webp	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-32x32.webp	(from https://asean-university.com/)
12:22:36	16758/16758	---M--	200	added ('OK')	image/webp	etag:%224176-66b3b85e-b0ccb239237045a7;;;%22	https://asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-192x192.webp	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-192x192.webp	(from https://asean-university.com/)
12:22:37	15680/15680	---M--	200	added ('OK')	image/webp	etag:%223d40-66b3b85e-cd5fa2400f690c68;;;%22	https://asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-180x180.webp	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/uploads/2024/08/cropped-logo-asean-university-international-180x180.webp	(from https://asean-university.com/)
12:22:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Apr%202026%2019:22:36%20GMT	https://asean-university.com/pendaftaran-mahasiswa	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa	(from https://asean-university.com/)
12:22:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Apr%202026%2019:22:36%20GMT	https://asean-university.com/search-mahasiswa	C:/My%20Web%20Sites/uni/asean-university.com/search-mahasiswa	(from https://asean-university.com/)
12:22:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Apr%202026%2019:22:36%20GMT	https://asean-university.com/pendaftaran-mahasiswa?degree=1	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa3dce	(from https://asean-university.com/)
12:22:38	39928/39928	---M-Z	200	added ('OK')	text/html	etag:%2222-1776085030;gz%22	https://asean-university.com/contact-us/	C:/My%20Web%20Sites/uni/asean-university.com/contact-us/index.html	(from https://asean-university.com/)
12:22:39	93633/93633	---M-Z	200	added ('OK')	text/html	etag:%2223-1776085032;gz%22	https://asean-university.com/structure/	C:/My%20Web%20Sites/uni/asean-university.com/structure/index.html	(from https://asean-university.com/)
12:22:39	43006/43006	---MCZ	200	added ('OK')	text/html	etag:%2232-1776115922;gz%22	https://asean-university.com/history/	C:/My%20Web%20Sites/uni/asean-university.com/history/index.html	(from https://asean-university.com/)
12:22:39	36716/36716	---MCZ	200	added ('OK')	text/html	etag:%2226-1776093741;gz%22	https://asean-university.com/pendaftaran-mahasiswa/	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa/index.html	(from https://asean-university.com/)
12:22:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Apr%202026%2019:22:38%20GMT	https://asean-university.com/pendaftaran-mahasiswa?degree=2	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa83f1	(from https://asean-university.com/)
12:22:39	33591/33591	---MCZ	200	added ('OK')	text/html	etag:%2220-1776083443;gz%22	https://asean-university.com/search-mahasiswa/	C:/My%20Web%20Sites/uni/asean-university.com/search-mahasiswa/index.html	(from https://asean-university.com/)
12:22:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Apr%202026%2019:22:38%20GMT	https://asean-university.com/pendaftaran-mahasiswa?degree=3	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa93e1	(from https://asean-university.com/)
12:22:39	36845/36845	---MCZ	200	added ('OK')	text/html	etag:%2216-1776077735;gz%22	https://asean-university.com/faculty/	C:/My%20Web%20Sites/uni/asean-university.com/faculty/index.html	(from https://asean-university.com/)
12:22:40	227271/227271	---M-Z	200	added ('OK')	application/x-javascript	etag:%22377c7-6820427d-f65af1ca727605a5;gz%22	https://asean-university.com/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min.js?ver=1.7.1018	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min96d1.js	(from https://asean-university.com/)
12:22:40	57044/57044	---MCZ	200	added ('OK')	text/html	etag:%2233-1776115927;gz%22	https://asean-university.com/gallery/	C:/My%20Web%20Sites/uni/asean-university.com/gallery/index.html	(from https://asean-university.com/)
12:22:40	41676/41676	---M-Z	200	added ('OK')	text/html	etag:%2221-1776085028;gz%22	https://asean-university.com/pendaftaran-beasiswa/	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-beasiswa/index.html	(from https://asean-university.com/)
12:22:40	16/16	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2019:22:39%20GMT	https://asean-university.com/wp-content/plugins/litespeed-cache/guest.vary.php	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/litespeed-cache/guest.vary.html	(from https://asean-university.com/)
12:22:41	38355/38355	---MCZ	200	added ('OK')	text/html	etag:%2212-1776067288;gz%22	https://asean-university.com/profile/	C:/My%20Web%20Sites/uni/asean-university.com/profile/index.html	(from https://asean-university.com/)
12:22:41	15516613/15516613	---M--	200	added ('OK')	video/mp4	etag:%22ecc3c5-68986bc1-68554a5c54ae0f22;;;%22	https://asean-university.com/wp-content/uploads/2025/08/WhatsApp-Video-2025-08-10-at-16.42.34.mp4	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/uploads/2025/08/WhatsApp-Video-2025-08-10-at-16.42.34.mp4	(from https://asean-university.com/)
12:22:41	71229/71229	---MCZ	200	added ('OK')	text/html	etag:%2266-1776280960;gz%22	https://asean-university.com/pendaftaran-mahasiswa/?degree=1	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa/index3dce.html	(from https://asean-university.com/)
12:22:41	224340/224340	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236c54-6820428c-70ea216b048dc919;gz%22	https://asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.36.0	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.eot	(from https://asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226.css?ver=882b8)
12:22:41	99440/99440	---M--	200	added ('OK')	font/woff2	etag:%2218470-6820428c-7c2f887cdacb3f77;;;%22	https://asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.36.0	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.woff2	(from https://asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226.css?ver=882b8)
12:22:41	122324/122324	---M--	200	added ('OK')	application/font-woff	etag:%221ddd4-6820428c-f807a21c40a06617;;;%22	https://asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.36.0	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.woff	(from https://asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226.css?ver=882b8)
12:22:41	71229/71229	---M-Z	200	added ('OK')	text/html	etag:%2267-1776280960;gz%22	https://asean-university.com/pendaftaran-mahasiswa/?degree=2	C:/My%20Web%20Sites/uni/asean-university.com/pendaftaran-mahasiswa/index83f1.html	(from https://asean-university.com/)
12:22:42	224180/224180	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2236bb4-6820428c-b69875e4fa283670;gz%22	https://asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.36.0	C:/My%20Web%20Sites/uni/asean-university.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsfcca.ttf	(from https://asean-university.com/wp-content/litespeed/css/662ac5be71a788ae22ce91fa0b74c226.css?ver=882b8)
